# Reference solar spectrum, disc centre.
# Delbouille, Neven & Roland (1972), Jungfraujoch; served by BASS2000
# (bass2000.obspm.fr).  Intensity is linear, continuum = 10000.
wavelength_nm,intensity,label
356.7120,7710,
356.8120,8146,
356.9120,6376,
357.0120,240,
357.1120,6355,
357.2120,4185,
357.3120,8393,
357.4120,8718,
357.5120,1009,
357.6120,8714,
357.7120,8677,
357.8120,4205,
357.9120,6087,
358.0120,5494,
358.1120,870,
358.1210,205,Fe N
358.2210,829,
358.3210,5060,
358.4210,7181,
358.5210,1261,
358.6210,5737,
358.7210,644,
358.8210,5739,
358.9210,6705,
359.0210,6875,
359.1210,7693,
359.2210,9003,
359.3210,6425,
359.4210,8919,
359.5210,9027,
359.6210,1546,
359.7210,9225,
359.8210,7250,
359.9210,7841,
360.0210,9272,
360.1210,7908,
360.2210,7725,
360.3210,543,
360.4210,8178,
360.5210,988,
360.6210,8484,
360.7210,8681,
360.8210,4784,
360.9210,3912,
361.0210,1666,
361.1210,5418,
361.2210,8236,
361.3210,4650,
361.4210,8447,
361.5210,2910,
361.6210,2197,
361.7210,8292,
361.8210,4985,
361.9210,2617,
362.0210,4722,
362.1210,2031,
362.2210,8325,
362.3210,1067,
362.4210,8035,
362.5210,6858,
362.6210,5810,
362.7210,9003,
362.8210,9155,
362.9210,9407,
363.0210,6286,
363.1210,2346,
363.2210,6212,
363.3210,8383,
363.4210,1673,
363.5210,1731,
363.6210,1592,
363.7210,6052,
363.8210,4713,
363.9210,8761,
364.0210,8878,
364.1210,7980,
364.2210,9406,
364.3210,2643,
364.4210,9159,
364.5210,7348,
364.6210,3700,
364.7210,7159,
364.8210,3348,
364.9210,7882,
365.0210,7083,
365.1210,5852,
365.2210,8986,
365.3210,9574,
365.4210,9592,
365.5210,5312,
365.6210,1260,
365.7210,8831,
365.8210,9207,
365.9210,8853,
366.0210,5124,
366.1210,9319,
366.2210,2028,
366.3210,3124,
366.4210,5188,
366.5210,9436,
366.6210,5015,
366.7210,5184,
366.8210,1424,
366.9210,2137,
367.0210,9559,
367.1210,7300,
367.2210,9806,
367.3210,5435,
367.4210,6652,
367.5210,9312,
367.6210,9278,
367.7210,9204,
367.8210,4170,
367.9210,9288,
368.0210,7042,
368.1210,3127,
368.2210,695,
368.3210,8682,
368.4210,6057,
368.5210,575,
368.6210,5733,
368.7210,4775,
368.8210,6692,
368.9210,9216,
369.0210,9691,
369.1210,9011,
369.2210,3987,
369.3210,9119,
369.4210,1878,
369.5210,9345,
369.6210,8022,
369.7210,8886,
369.8210,7380,
369.9210,8732,
370.0210,9773,
370.1210,6881,
370.2210,5573,
370.3210,8478,
370.4210,8722,
370.5210,6837,
370.6210,1195,
370.7210,8366,
370.8210,7739,
370.9210,861,
371.0210,8447,
371.1210,1565,
371.2210,7792,
371.3210,9356,
371.4210,9528,
371.5210,5986,
371.6210,8773,
371.7210,8382,
371.8210,6865,
371.9210,5349,
372.0210,1847,
372.1210,2892,
372.2210,3486,
372.3210,7809,
372.4210,8524,
372.5210,8747,
372.6210,9648,
372.7210,6789,
372.8210,8472,
372.9210,9806,
373.0210,9207,
373.1210,7729,
373.2210,7564,
373.3210,1420,
373.4210,3347,
373.5210,1896,
373.6210,5198,
373.7210,966,
373.8210,6271,
373.9210,1559,
374.0210,2648,
374.1210,9155,
374.2210,8518,
374.3210,3090,
374.4210,7163,
374.5210,3725,
374.6210,4336,
374.7210,4966,
374.8210,969,
374.9210,1959,
375.0210,3664,
375.1210,5405,
375.2210,7490,
375.3210,7854,
375.4210,8259,
